epoch,layer,activation_mean,activation_std,sparsity,gradient_norm,weight_norm,feature_cov_drift,repr_similarity_shift
0,conv1,-6.474195924965898e-05,0.3593846708536148,2.384185791015625e-06,39.59477996826172,3.392669439315796,0.0,0.0
0,bn1,0.0003703948805195978,0.7430216111242771,1.9073486328125e-06,0.865578293800354,8.003721237182617,0.0,0.0
0,layer1.0.conv1,-0.10005031898617744,1.5584055185317993,0.0,13.032442092895508,11.289227485656738,0.0,0.0
0,layer1.0.bn1,-0.009812215896090493,0.8298027738928795,3.814697265625e-06,0.5460149049758911,7.999691009521484,0.0,0.0
0,layer1.0.conv2,0.06651103962212801,0.8334716930985451,3.814697265625e-06,10.562097549438477,11.322782516479492,0.0,0.0
0,layer1.0.bn2,0.005393504412495531,0.817236565053463,1.9073486328125e-06,0.5646753311157227,7.998746871948242,0.0,0.0
0,layer1.1.conv1,-0.261518320068717,1.965984508395195,0.0,9.504059791564941,11.255805969238281,0.0,0.0
0,layer1.1.bn1,-0.03468255541520193,0.9101356342434883,1.9073486328125e-06,0.4704015552997589,7.999673843383789,0.0,0.0
0,layer1.1.conv2,-0.040875877253711224,0.795934297144413,0.0,7.971234321594238,11.330231666564941,0.0,0.0
0,layer1.1.bn2,-0.018999993888428435,0.8563969358801842,0.0,0.3793785572052002,7.996645927429199,0.0,0.0
0,layer2.0.conv1,-0.053807822754606605,1.5420465469360352,0.0,13.263007164001465,11.364906311035156,0.0,0.0
0,layer2.0.bn1,-0.0034173046005889773,0.8805249109864235,3.814697265625e-06,0.49171382188796997,11.313218116760254,0.0,0.0
0,layer2.0.conv2,-0.018055787542834878,0.7499537989497185,0.0,11.059673309326172,15.983559608459473,0.0,0.0
0,layer2.0.bn2,-0.008103383413981646,0.8322760909795761,0.0,0.40778452157974243,11.313343048095703,0.0,0.0
0,layer2.0.downsample.0,0.06040025025140494,1.653192713856697,0.0,3.7020559310913086,11.312206268310547,0.0,0.0
0,layer2.0.downsample.1,-0.007089343504048884,0.8831581249833107,0.0,0.44456157088279724,11.312691688537598,0.0,0.0
0,layer2.1.conv1,0.03784201166126877,1.067012496292591,0.0,10.386338233947754,15.973736763000488,0.0,0.0
0,layer2.1.bn1,-0.005296845192788169,0.9017360433936119,3.814697265625e-06,0.36691707372665405,11.31320858001709,0.0,0.0
0,layer2.1.conv2,0.012906362768262625,0.7702351361513138,0.0,8.799883842468262,15.984164237976074,0.0,0.0
0,layer2.1.bn2,0.007659024893655442,0.8419488593935966,3.814697265625e-06,0.30569034814834595,11.31360149383545,0.0,0.0
0,layer3.0.conv1,-0.020365387317724526,0.9537343382835388,0.0,12.12012767791748,16.01798439025879,0.0,0.0
0,layer3.0.bn1,-0.002630915376357734,0.8736385777592659,0.0,0.32591748237609863,15.99928092956543,0.0,0.0
0,layer3.0.conv2,-0.013871634379029274,0.5851797610521317,0.0,10.366302490234375,22.57022476196289,0.0,0.0
0,layer3.0.bn2,-0.005966467782855034,0.7616249322891235,0.0,0.2676485478878021,15.999313354492188,0.0,0.0
0,layer3.0.downsample.0,-0.11850182060152292,1.1132147759199142,0.0,3.350886583328247,16.031675338745117,0.0,0.0
0,layer3.0.downsample.1,-0.02467823028564453,0.8921160772442818,0.0,0.2549406886100769,15.998579025268555,0.0,0.0
0,layer3.1.conv1,0.00270848348736763,0.8016673177480698,0.0,9.688749313354492,22.62714195251465,0.0,0.0
0,layer3.1.bn1,-0.0008749873959459364,0.8007576316595078,0.0,0.23000529408454895,15.999279022216797,0.0,0.0
0,layer3.1.conv2,0.022454286459833384,0.5428165905177593,0.0,7.849387168884277,22.65513801574707,0.0,0.0
0,layer3.1.bn2,0.004211742590996437,0.7144590057432652,0.0,0.20799684524536133,15.999948501586914,0.0,0.0
0,layer4.0.conv1,0.03661067527718842,0.6984235756099224,0.0,10.329702377319336,22.64719581604004,0.0,0.0
0,layer4.0.bn1,0.0057330169615852355,0.7218375019729137,0.0,0.16939663887023926,22.626394271850586,0.0,0.0
0,layer4.0.conv2,-0.0011582224105950445,0.24162067100405693,0.0,8.089404106140137,32.0074348449707,0.0,0.0
0,layer4.0.bn2,0.0014774146147829015,0.5765268374234438,1.52587890625e-05,0.15787844359874725,22.62553596496582,0.0,0.0
0,layer4.0.downsample.0,-0.004798728012247011,0.939942978322506,0.0,2.7049341201782227,22.647289276123047,0.0,0.0
0,layer4.0.downsample.1,0.002284844960740884,0.7348751127719879,0.0,0.15482085943222046,22.625736236572266,0.0,0.0
0,layer4.1.conv1,0.003258362179622054,0.3205103352665901,0.0,7.3771233558654785,31.989850997924805,0.0,0.0
0,layer4.1.bn1,0.002596080712919502,0.5820008143782616,0.0,0.12251406162977219,22.626394271850586,0.0,0.0
0,layer4.1.conv2,-0.0017095609655370936,0.19261340098455548,3.0517578125e-05,5.656287670135498,32.02154541015625,0.0,0.0
0,layer4.1.bn2,0.0003055851834687928,0.535226427949965,1.52587890625e-05,0.10829455405473709,22.6256103515625,0.0,0.0
0,fc,0.11839265000890009,0.5363132618367672,0.0,7.59571647644043,1.8292914628982544,0.0,0.0
1,conv1,0.00042773382574523566,0.5631815008819103,1.430511474609375e-06,13.540250778198242,5.3302083015441895,490.7442550864424,0.13650557233486216
1,bn1,0.001173479267890798,0.9328771680593491,9.5367431640625e-07,0.5200332403182983,8.008184432983398,532.9029484696913,0.18841743694338864
1,layer1.0.conv1,-0.09520615916699171,2.358814388513565,0.0,6.6223554611206055,11.352167129516602,1030.8922198190974,0.17443542336781692
1,layer1.0.bn1,0.006036783262970857,1.2107382267713547,1.9073486328125e-06,0.4453431963920593,7.9990692138671875,360.88408703809756,0.23937387712603653
1,layer1.0.conv2,0.09961314592510462,1.3224228471517563,0.0,5.984880447387695,11.365447998046875,896.4576873129325,0.2237149257323785
1,layer1.0.bn2,0.03533810464432463,1.2919826433062553,0.0,0.3407520651817322,7.997699737548828,1195.755463169765,0.1601069921733852
1,layer1.1.conv1,-0.43662048131227493,3.033294588327408,1.9073486328125e-06,5.248595714569092,11.29001235961914,2815.34303110872,0.1888601389159843
1,layer1.1.bn1,-0.07913803536212072,1.4018509536981583,0.0,0.2840769588947296,7.999007225036621,641.3356029063435,0.24532749607126203
1,layer1.1.conv2,-0.038975395960733294,1.2574535235762596,0.0,4.590162754058838,11.352994918823242,1268.698437395123,0.268460234752103
1,layer1.1.bn2,-0.013745072457822971,1.3398026302456856,0.0,0.22587177157402039,7.991580963134766,1842.2084283735871,0.19234422463689127
1,layer2.0.conv1,-0.037221946055069566,2.4499700367450714,0.0,7.56622838973999,11.42665958404541,1066.9467253592973,0.24023006716265105
1,layer2.0.bn1,0.0009322146070189774,1.4022378325462341,0.0,0.25388792157173157,11.312193870544434,388.7454007816438,0.3055694962334353
1,layer2.0.conv2,-0.02135018992703408,1.3035623133182526,0.0,7.037813186645508,16.014184951782227,706.3579023355445,0.3245964509954925
1,layer2.0.bn2,-0.010994274314725772,1.4170812144875526,0.0,0.2902255356311798,11.311477661132812,851.3553202751805,0.32496214659986067
1,layer2.0.downsample.0,0.060932825319468975,2.3864989578723907,0.0,2.5166573524475098,11.31622314453125,942.8098541551238,0.1852662047828889
